id,parentId,name,classificationId
181,180,"Shrubs",1
182,180,"Trees",1
183,180,"Plants",1
184,180,"Plant Bulbs",1
185,180,"Floral Plant",1
186,180,"Non Flowering Plant",1
187,137,"Pond Equipment",1
188,187,"Pond Liners",1
189,187,"Pond Filters",1
190,1,"Site Furnishings",1
191,190,"Bicycle Racks and Shelters",1
192,191,"Bicycle Racks",1
193,191,"Bicycle Shelters",1
194,191,"Bicycle Lockers",1
195,190,"Exterior Seating",1
196,195,"Exterior Benches",1
197,195,"Exterior Chairs",1
198,190,"Exterior Tables",1
199,190,"Patio Furniture",1
200,199,"Patio Seating",1
201,200,"Patio Chairs",1
202,200,"Patio Benches",1
203,200,"Patio Chaise Lounges",1
204,200,"Patio Sofas",1
205,199,"Patio Tables",1
206,205,"Patio Dining Tables",1
207,205,"Patio Sofa Tables",1
208,190,"Exterior Trash Receptacles",1
209,208,"Exterior Wood Trash Receptacles",1
210,208,"Exterior Concrete Trash Receptacles",1
211,208,"Exterior Metal Trash Receptacles",1
212,190,"Exterior Specialties",1
213,212,"Sundials",1
214,212,"Garden Ornaments",1
215,212,"Bird Houses",1
216,212,"Bird Feeders",1
217,212,"Bird Baths",1
218,190,"Exterior Storage Structures",1
219,218,"Storage Sheds",1
220,218,"Barns",1
221,190,"Flagpoles",1
222,221,"Automatic Flagpoles",1
223,221,"Ground Set Flagpoles",1
224,221,"Nautical Flagpoles",1
225,221,"Wall Mounted Flagpoles",1
226,190,"Exterior Fountains",1
227,226,"Exterior Ornamental Fountains",1
228,190,"Memorials and Statuary",1
229,190,"Monuments",1
230,190,"Exterior Directional Signs",1
231,230,"Finger Post Signs",1
232,230,"Street Nameplates",1
233,230,"Illuminated Directional Signs",1
234,230,"Directional Sign Markers",1
235,190,"Bollards",1
236,235,"Active Anti Ram Bollards",1
237,235,"Passive Anti Ram Bollards",1
238,235,"Architectural Bollards",1
239,190,"Public Lighting Columns",1
240,1,"Athletic and Recreational Surfaces",1
241,240,"Sports Field Surfacing",1
242,240,"Playground Surfaces",1
243,,"Structural and Exterior Enclosure Products",1
244,243,"Loose Granular Fills", Aggregates
245,244,"Powder Fillers",1
246,245,"Mineral Powder Fillers",1
247,245,"Metal Powder Fillers",1
248,245,"Synthetic Powder Fillers",1
249,245,"Residue Powder Fillers",1
250,244,"Aggregates",1
251,250,"Dense Fills and Aggregates",1
252,250,"Lightweight Fills and Aggregates",1
253,250,"Heavyweight Fills and Aggregates",1
254,244,"Fibers and Shavings",1
255,254,"Mineral Fibers and Shavings",1
256,254,"Vegetable Fibers and Shavings",1
257,254,"Synthetic Fibers and Shavings",1
258,254,"Other Fibers and Shavings",1
259,243,"Binding Agents and Admixtures",1
260,259,"Binding Agents",1
261,260,"Cement",1
262,261,"Standard Cement",1
263,261,"Specialized Cement",1
264,263,"High Sulfate Resistant Cement",1
265,263,"Low Alkali Cement",1
266,263,"Low Heat Cement",1
